country,Languages,Region,Population,Capital,Currencies,image_url,GunDeathsAllCausesTotal2019,totalRate,shareOfDeaths,GunDeathsViolentTotal2019,GunDeathsViolentPct2019,GunDeathsViolentRatePer100k2019,gunViolenceByCountry_suicidesPer100k,gunOwnershipByCountry_firearms,gunOwnershipByCountry_per100,gunOwnershipByCountry_military,gunOwnershipByCountry_lawEnf
Monaco,fra,Europe,39244,Monaco,EUR,https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Monaco.svg,1.0,2.765716182205382,0.000400795177632,0.0,0.01,0.09,,7000,19.6,,1000.0
Mongolia,mon,Asia,3278292,Ulan Bator,MNT,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg,31.0,0.887329478888571,0.012424650506605,8.0,0.03,0.23,0.0,242000,7.9,323400.0,7000.0
Montenegro,cnr,Europe,621718,Podgorica,EUR,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg,28.0,4.472114767242398,0.011222264973707,7.0,0.1,1.07,2.0,245000,39.1,5396.0,8000.0
Morocco,"ara, ber",Africa,36910558,Rabat,MAD,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,659.0,1.724613551133967,0.264124022059766,171.0,0.07,0.48,0.0,1690000,4.8,588020.0,91000.0
Mozambique,por,Africa,31255435,Maputo,MZN,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg,991.0,2.842930091861354,0.39718802103373,595.0,0.22,2.01,1.0,1337000,4.5,60000.0,24000.0
Myanmar,mya,Asia,54409794,Naypyidaw,MMK,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg,365.0,0.6640626435580621,0.146290239835834,211.0,0.05,0.39,0.0,877000,1.6,788900.0,76600.0
Namibia,"afr, deu, eng, her, hgm, kwn, loz, ndo, tsn",Africa,2540916,Windhoek,"NAD, ZAR",https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Namibia.svg,106.0,4.006342115159658,0.042484288829036,81.0,0.42,3.36,1.0,396000,15.4,11880.0,15000.0
Nepal,nep,Asia,29136808,Kathmandu,NPR,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg,192.0,0.614590473879664,0.076952674105425,30.0,0.02,0.1,0.0,444000,1.5,183540.0,62000.0
Netherlands,nld,Europe,16655799,Amsterdam,EUR,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,85.0,0.481010688340442,0.034067590098755,38.0,0.02,0.22,0.0,442000,2.6,108676.0,96000.0
New Zealand,"eng, mri, nzs",Oceania,5084300,Wellington,NZD,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg,49.0,0.929802033761681,0.019638963703988,7.0,0.02,0.15,0.0,1212000,26.3,38280.0,13000.0
Nicaragua,spa,Americas,6624554,Managua,NIO,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg,225.0,3.150144717648329,0.090178914967295,187.0,0.64,2.87,0.0,323000,5.2,261800.0,8590.0
Niger,fra,Africa,24206636,Niamey,XOF,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg,778.0,2.7550577974297363,0.311818648198024,528.0,0.26,2.27,1.0,117000,0.5,11110.0,10000.0
