country,Languages,Region,Population,Capital,Currencies,image_url,GunDeathsAllCausesTotal2019,totalRate,shareOfDeaths,GunDeathsViolentTotal2019,GunDeathsViolentPct2019,GunDeathsViolentRatePer100k2019,gunViolenceByCountry_suicidesPer100k,gunOwnershipByCountry_firearms,gunOwnershipByCountry_per100,gunOwnershipByCountry_military,gunOwnershipByCountry_lawEnf
Cameroon,"eng, fra",Africa,26545864,Yaoundé,XAF,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,589.0,2.003780783932794,0.236068359625497,288.0,0.14,0.99,1.0,510000,2.1,27360.0,15000.0
Canada,"eng, fra",Americas,38005238,Ottawa,CAD,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,875.0,2.237448463890624,0.350695780428369,170.0,0.06,0.47,1.0,12708000,34.7,233949.0,103000.0
Cape Verde,por,Africa,555988,Praia,CVE,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg,41.0,6.782902453590885,0.016432602282929,34.0,0.98,6.11,1.0,31000,5.7,,19000.0
Central African Republic,"fra, sag",Africa,4829764,Bangui,XAF,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,187.0,3.161118846742703,0.074948698217263,59.0,0.09,1.12,1.0,94000,1.8,8580.0,10000.0
Chad,"ara, fra",Africa,16425859,N'Djamena,XAF,https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg,623.0,3.305539915110763,0.249695395664999,380.0,0.24,2.32,1.0,151000,1.0,25020.0,34000.0
Chile,spa,Americas,19116209,Santiago,CLP,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,503.0,2.558645502921104,0.201599974349108,345.0,0.31,1.9,0.0,2220000,12.1,311900.0,66000.0
China,zho,Asia,1402112000,Beijing,CNY,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,1126.0,0.079007631479037,0.451295370014107,334.0,0.0,0.02,0.0,49735000,3.6,27466400.0,1971000.0
Colombia,spa,Americas,50882884,Bogotá,COP,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,13171.0,25.163938156512547,5.278873284596639,12596.0,5.1,26.36,1.0,4971000,10.1,350689.0,283000.0
Comoros,"ara, fra, zdj",Africa,869595,Moroni,KMF,https://upload.wikimedia.org/wikipedia/commons/9/94/Flag_of_the_Comoros.svg,30.0,3.45779473377862,0.012023855328972,21.0,0.43,2.99,1.0,12000,1.5,600.0,2000.0
Costa Rica,spa,Americas,5094114,San José,CRC,https://upload.wikimedia.org/wikipedia/commons/f/f2/Flag_of_Costa_Rica.svg,420.0,8.005010374112254,0.168333974605617,355.0,1.45,7.52,1.0,493000,10.0,,17000.0
Croatia,hrv,Europe,4047200,Zagreb,EUR,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Croatia.svg,98.0,2.458218438795503,0.039277927407977,16.0,0.03,0.37,2.0,576000,13.7,75120.0,39000.0
Cuba,spa,Americas,11326616,Havana,"CUC, CUP",https://upload.wikimedia.org/wikipedia/commons/b/bd/Flag_of_Cuba.svg,79.0,0.7069612505589691,0.031662819032961,32.0,0.03,0.28,0.0,234000,2.1,958100.0,42000.0
Cyprus,"ell, tur",Europe,1207361,Nicosia,EUR,https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Cyprus.svg,19.0,1.49787105222288,0.007615108375016,8.0,0.09,0.63,0.0,285000,34.0,99000.0,11000.0
Denmark,dan,Europe,5831404,Copenhagen,DKK,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,64.0,1.077496403434856,0.025650891368475,8.0,0.01,0.14,1.0,567000,9.9,124120.0,20000.0
Djibouti,"ara, fra",Africa,988002,Djibouti,DJF,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_Djibouti.svg,51.0,4.425819362352245,0.020440554059253,38.0,0.5,3.16,0.0,28000,3.1,19855.0,5000.0
Dominica,eng,Americas,71991,Roseau,XCD,https://upload.wikimedia.org/wikipedia/commons/c/c4/Flag_of_Dominica.svg,2.0,2.725984080252971,0.000801590355264,2.0,0.33,3.59,0.0,5000,6.2,,600.0
Dominican Republic,spa,Americas,10847904,Santo Domingo,DOP,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_the_Dominican_Republic.svg,1525.0,13.33740889565817,0.611212645889444,1288.0,1.82,11.84,0.0,795000,7.4,106495.0,46000.0
Ecuador,spa,Americas,17643060,Quito,USD,https://upload.wikimedia.org/wikipedia/commons/e/e8/Flag_of_Ecuador.svg,1127.0,6.132543361625199,0.45169616519174,989.0,1.07,5.62,0.0,402000,2.4,253668.0,41000.0
Egypt,ara,Africa,102334403,Cairo,EGP,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,816.0,0.712761786660404,0.327048864948056,367.0,0.07,0.37,0.0,3931000,4.1,1544750.0,1530000.0
El Salvador,spa,Americas,6486201,San Salvador,USD,https://upload.wikimedia.org/wikipedia/commons/3/34/Flag_of_El_Salvador.svg,2314.0,36.17722713904891,0.927440041041426,2301.0,5.72,36.78,0.0,737000,12.0,127840.0,30000.0
Equatorial Guinea,"fra, por, spa",Africa,1402985,Malabo,XAF,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Equatorial_Guinea.svg,15.0,0.85470426377769,0.006011927664486,9.0,0.12,0.62,0.0,112000,12.5,2760.0,2000.0
Eritrea,"ara, eng, tir",Africa,5352000,Asmara,ERN,https://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_Eritrea.svg,354.0,9.27271769996786,0.141881492881877,241.0,0.55,3.6,1.0,23000,0.4,668550.0,12000.0
Estonia,est,Europe,1331057,Tallinn,EUR,https://upload.wikimedia.org/wikipedia/commons/8/8f/Flag_of_Estonia.svg,17.0,1.288815131599396,0.006813518019751,4.0,0.02,0.28,1.0,65000,5.0,38760.0,18000.0
Ethiopia,amh,Africa,114963583,Addis Ababa,ETB,https://upload.wikimedia.org/wikipedia/commons/7/71/Flag_of_Ethiopia.svg,3712.0,2.86155414813996,1.487751699371553,2293.0,0.41,2.13,1.0,377000,0.4,525600.0,79000.0
Fiji,"eng, fij, hif",Oceania,896444,Suva,FJD,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg,1.0,0.106036442604594,0.000400795177632,1.0,0.02,0.15,0.0,5000,0.5,16700.0,2000.0
Finland,"fin, swe",Europe,5530719,Helsinki,EUR,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Finland.svg,161.0,2.900960488197415,0.06452802359882,12.0,0.02,0.22,2.0,1793000,32.4,475030.0,14000.0
France,fra,Europe,67391582,Paris,EUR,https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,2097.0,3.232029676105004,0.8404674874951901,222.0,0.04,0.34,2.0,12732000,19.6,566430.0,497000.0
Gabon,fra,Africa,2225728,Libreville,XAF,https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_Gabon.svg,28.0,1.126961466370061,0.011222264973707,14.0,0.12,0.78,0.0,61000,3.4,5640.0,4000.0
Gambia,eng,Africa,2416664,Banjul,GMD,,30.0,1.05566782778398,0.012023855328972,5.0,0.04,0.22,1.0,137000,6.5,1080.0,5000.0
Georgia,kat,Asia,3714000,Tbilisi,GEL,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,103.0,2.770735119067634,0.041281903296139,46.0,0.09,1.25,0.0,402000,10.1,63950.0,41000.0
Germany,deu,Europe,83240525,Berlin,EUR,https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,1020.0,1.2251888154098571,0.408811081185071,84.0,0.01,0.1,0.0,15822000,19.6,483016.0,466000.0
Ghana,eng,Africa,31072945,Accra,GHS,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg,478.0,1.374451003150828,0.191580094908298,229.0,0.11,0.73,0.0,2280000,8.0,18600.0,28000.0
Greece,ell,Europe,10715549,Athens,EUR,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,148.0,1.436513852652503,0.059317686289598,41.0,0.03,0.39,0.0,1920000,17.6,642510.0,99000.0
Greenland,kal,Americas,56367,Nuuk,DKK,,10.0,17.609044005000968,0.004007951776324,1.0,0.25,2.18,22.0,13000,22.3,,300.0
Grenada,eng,Americas,112519,St. George's,XCD,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg,2.0,1.576205600258497,0.000801590355264,1.0,0.09,0.72,0.0,5000,4.6,,1000.0
